model,layer,M,N,K
facebook/opt-1.3b,model.decoder.layers.7.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.8.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.8.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.9.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.9.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.10.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.10.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.11.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.11.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.12.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.12.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.13.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.13.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.14.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.14.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.15.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.15.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.16.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.16.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.17.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.17.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.18.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.18.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.18.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.18.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.18.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.18.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.19.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.19.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.19.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.19.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.19.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.19.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.20.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.20.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.20.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.20.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.20.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.20.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.21.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.21.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.21.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.21.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.21.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.21.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.22.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.22.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.22.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.22.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.22.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.22.fc2,512,2048,8192
facebook/opt-1.3b,model.decoder.layers.23.self_attn.q_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.23.self_attn.k_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.23.self_attn.v_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.23.self_attn.out_proj,512,2048,2048
facebook/opt-1.3b,model.decoder.layers.23.fc1,512,8192,2048
facebook/opt-1.3b,model.decoder.layers.23.fc2,512,2048,8192
facebook/opt-1.3b,lm_head,512,50272,2048
facebook/opt-1.3b,model.decoder.layers.0.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.0.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.0.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.0.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.0.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.0.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.1.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.1.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.1.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.1.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.1.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.1.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.2.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.2.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.2.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.2.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.2.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.2.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.3.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.3.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.3.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.3.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.3.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.3.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.4.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.4.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.4.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.4.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.4.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.4.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.5.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.5.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.5.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.5.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.5.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.5.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.6.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.6.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.6.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.6.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.6.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.6.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.7.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.7.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.7.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.7.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.7.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.7.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.8.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.8.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.9.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.9.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.10.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.10.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.11.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.11.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.12.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.12.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.13.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.13.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.14.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.14.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.15.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.15.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.16.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.16.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.17.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.17.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.18.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.18.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.18.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.18.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.18.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.18.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.19.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.19.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.19.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.19.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.19.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.19.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.20.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.20.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.20.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.20.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.20.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.20.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.21.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.21.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.21.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.21.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.21.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.21.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.22.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.22.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.22.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.22.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.22.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.22.fc2,1024,2048,8192
facebook/opt-1.3b,model.decoder.layers.23.self_attn.q_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.23.self_attn.k_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.23.self_attn.v_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.23.self_attn.out_proj,1024,2048,2048
facebook/opt-1.3b,model.decoder.layers.23.fc1,1024,8192,2048
facebook/opt-1.3b,model.decoder.layers.23.fc2,1024,2048,8192
facebook/opt-1.3b,lm_head,1024,50272,2048
facebook/opt-1.3b,model.decoder.layers.0.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.0.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.0.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.0.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.0.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.0.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.1.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.1.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.1.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.1.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.1.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.1.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.2.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.2.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.2.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.2.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.2.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.2.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.3.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.3.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.3.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.3.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.3.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.3.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.4.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.4.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.4.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.4.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.4.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.4.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.5.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.5.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.5.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.5.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.5.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.5.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.6.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.6.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.6.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.6.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.6.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.6.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.7.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.7.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.7.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.7.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.7.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.7.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.8.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.8.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.8.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.9.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.9.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.9.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.10.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.10.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.10.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.11.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.11.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.11.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.12.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.12.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.12.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.13.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.13.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.13.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.14.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.14.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.14.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.15.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.15.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.15.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.16.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.16.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.16.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.17.self_attn.q_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.self_attn.k_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.self_attn.v_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.self_attn.out_proj,2048,2048,2048
facebook/opt-1.3b,model.decoder.layers.17.fc1,2048,8192,2048
facebook/opt-1.3b,model.decoder.layers.17.fc2,2048,2048,8192
facebook/opt-1.3b,model.decoder.layers.18.self_attn.q_proj,2048,2048,2048
